scenario,run_id,host,model,run_status,phase,step,iter,session_pos,batch,context_tokens,prompt_tokens,new_prompt_tokens,max_tokens,ttft_ms,prompt_tps,tpot_ms,tg_ms,tg_tokens,reasoning_tokens,content_tokens,tg_s,out_tps,power_w,wh,tps_per_w,total_ms,ok,error,finish_reason
deepseekv4,20260830-104146-gx10-top-deepseekv4,gx10-top,deepseek-ai/DeepSeek-V4-Flash-0731,ok,cold,1000,0,,0,1172,1172,,512,767.5232080073329,1526.9896568245565,23.817838623045873,12194.733374999487,512,187,325,41.985337789316084,41.985337789316084,24.689,0.088895876368218,1.7005685847671466,12962.25658300682,True,,length
deepseekv4,20260830-104146-gx10-top-deepseekv4,gx10-top,deepseek-ai/DeepSeek-V4-Flash-0731,ok,cold,10000,0,,0,10370,10370,,512,4422.982458010665,2344.57181289933,20.123465820290676,10303.214499988826,512,157,355,49.693229234483596,49.693229234483596,67.39385714285714,0.27568200476849836,0.737355470382814,14726.196957999491,True,,length
deepseekv4,20260830-104146-gx10-top-deepseekv4,gx10-top,deepseek-ai/DeepSeek-V4-Flash-0731,ok,cold,50000,0,,0,50950,50950,,512,22128.107500000624,2302.5014678728653,23.038316732396424,11795.61816698697,512,176,336,43.4059489508538,43.4059489508538,101.383375,0.9553616113037023,0.4281367527057942,33923.72566698759,True,,length
deepseekv4,20260830-104146-gx10-top-deepseekv4,gx10-top,deepseek-ai/DeepSeek-V4-Flash-0731,ok,cold,100000,0,,0,102853,102853,,512,46762.672541008214,2199.4679604721855,21.630184734362956,11074.654583993834,512,161,351,46.23169021813034,46.23169021813034,125.07642857142856,2.009468424870428,0.3696275209179672,57837.32712500205,True,,length
deepseekv4,20260830-104146-gx10-top-deepseekv4,gx10-top,deepseek-ai/DeepSeek-V4-Flash-0731,ok,cold,200000,0,,0,204343,204343,,512,103525.57341699139,1973.84079368414,25.737472412117768,13177.585875004297,512,190,322,38.85385417758342,38.85385417758342,135.36198214285716,4.3881030470973545,0.287036681662789,116703.15929199569,True,,length
deepseekv4,20260830-104146-gx10-top-deepseekv4,gx10-top,deepseek-ai/DeepSeek-V4-Flash-0731,ok,cold,400000,0,,0,192258,192258,,512,95974.09920800419,2003.2279707394823,20.506716064460306,10499.438625003677,512,148,364,48.76451192168579,48.76451192168579,132.41972,3.916443355285587,0.36825717439733135,106473.53783300787,True,,length
deepseekv4,20260830-104146-gx10-top-deepseekv4,gx10-top,deepseek-ai/DeepSeek-V4-Flash-0731,ok,warm,40000,0,,0,46387,46387,,512,19873.547666997183,2334.1076680049496,15.880962320323988,8131.052708005882,512,118,394,62.968476332207494,62.968476332207494,143.07864285714285,1.1130167265033535,0.44009696398279713,28004.600375003065,True,,length
deepseekv4,20260830-104146-gx10-top-deepseekv4,gx10-top,deepseek-ai/DeepSeek-V4-Flash-0731,ok,warm,42000,0,,0,48572,48572,,512,1421.0584579996066,34180.156155133656,20.68304158592582,10589.71729199402,512,158,354,48.34878834651038,48.34878834651038,121.1615,0.4042343368442522,0.3990441546738063,12010.775749993627,True,,length
deepseekv4,20260830-104146-gx10-top-deepseekv4,gx10-top,deepseek-ai/DeepSeek-V4-Flash-0731,ok,warm,44000,0,,0,50681,50681,,512,1351.7290840100031,37493.459746868146,21.35883829686236,10935.725207993528,512,161,351,46.81902574012657,46.81902574012657,101.049,0.3448986045275132,0.46332992647256843,12287.454292003531,True,,length
deepseekv4,20260830-104146-gx10-top-deepseekv4,gx10-top,deepseek-ai/DeepSeek-V4-Flash-0731,ok,warm,46000,0,,0,52813,52813,,512,1405.8280830067815,37567.182387652756,19.420031820317263,9943.056292002439,512,149,363,51.49322149687719,51.49322149687719,101.049,0.31855372700286294,0.5095866509997842,11348.88437500922,True,,length
deepseekv4,20260830-104146-gx10-top-deepseekv4,gx10-top,deepseek-ai/DeepSeek-V4-Flash-0731,ok,warm,48000,0,,0,54954,54954,,512,1463.4048340085428,37552.151477777064,16.08035359569726,8233.141040996998,512,120,392,62.18768723267238,62.18768723267238,112.7886,0.3037943983549028,0.5513650070368138,9696.54587500554,True,,length
deepseekv4,20260830-104146-gx10-top-deepseekv4,gx10-top,deepseek-ai/DeepSeek-V4-Flash-0731,ok,warm,50000,0,,0,57086,57086,,512,1384.962334006559,41218.449482922646,21.56470003123445,11041.12641599204,512,162,350,46.37208023072862,46.37208023072862,96.639,0.3335679990295569,0.4798485107537187,12426.088749998598,True,,length
deepseekv4,20260830-104146-gx10-top-deepseekv4,gx10-top,deepseek-ai/DeepSeek-V4-Flash-0731,ok,mucold,1000,2,,0,1192,1192,,512,1113.4942909993697,1070.5039169353718,31.181736328136367,15965.04900000582,512,172,340,32.07005503082473,32.07005503082473,43.5208125,0.2064644667613805,0.7368900805982134,17078.54329100519,True,,length
deepseekv4,20260830-104146-gx10-top-deepseekv4,gx10-top,deepseek-ai/DeepSeek-V4-Flash-0731,ok,mucold,1000,2,,0,1184,1184,,512,1113.379457994597,1063.428996734504,32.44473055079311,16611.702042006073,512,183,329,30.821646012269163,30.821646012269163,43.05883333333333,0.212005925035633,0.7158030914044543,17725.08150000067,True,,length
deepseekv4,20260830-104146-gx10-top-deepseekv4,gx10-top,deepseek-ai/DeepSeek-V4-Flash-0731,ok,mucold,10000,2,,0,10628,10628,,512,8905.500249995384,1193.4197632531095,30.192450765611056,15458.53479199286,512,168,344,33.120862157337406,33.120862157337406,39.378727272727275,0.26650685961932846,0.8410851353308234,24364.035041988245,True,,length
deepseekv4,20260830-104146-gx10-top-deepseekv4,gx10-top,deepseek-ai/DeepSeek-V4-Flash-0731,ok,mucold,10000,2,,0,10375,10375,,512,4404.544207995059,2355.521822477673,41.24684993553274,21118.38716699276,512,182,330,24.244275661364735,24.244275661364735,39.39183333333334,0.2792764052504512,0.6154645166222626,25522.93137498782,True,,length
deepseekv4,20260830-104146-gx10-top-deepseekv4,gx10-top,deepseek-ai/DeepSeek-V4-Flash-0731,ok,mucold,50000,2,,0,50796,50796,,512,24539.57520799304,2069.962481805908,64.46059871484522,33003.82654200075,512,151,361,15.513352651651696,15.513352651651696,59.55030357142857,0.9518686229846679,0.26050837227125057,57543.40174999379,True,,length
